Worker ID, File, Total Time (ms), lateFile?, totalSpans, parser nodes, typer nodes, LoC, LoC/s
0, src/main/scala/MyModule.scala, 265, false, 60, 322, 408, 61, 230
1, src/main/scala/PolymorphicFunctions.scala, 208, false, 34, 75, 87, 15, 72
